City,Latitude,Longtitude,Max Temperature,Humidity,Clouds,Wind Speed,Country,Weather Date
Mimongo,-1.6195,11.6068,67.03,98,92,2.01,GA,1632286036
Amatitán,20.8333,-103.7167,63.99,94,85,4.14,MX,1632286037
La Ronge,55.1001,-105.2842,55.65,62,75,5.75,CA,1632286037
Oodweyne,9.4092,45.064,78.15,44,18,20.56,SO,1632286037
Airai,-8.9266,125.4092,69.13,52,90,6.91,TL,1632286038
Springbok,-29.6643,17.8865,55.63,11,15,15.21,ZA,1632286038
Yulara,-25.2406,130.9889,69.64,14,0,13.8,AU,1632286039
Xining,36.6167,101.7667,57.79,58,100,4.03,CN,1632286039
Kaitangata,-46.2817,169.8464,53.33,66,5,5.46,NZ,1632286040
Punta Arenas,-53.15,-70.9167,46.51,87,90,5.75,CL,1632285900
Portland,45.5234,-122.6762,69.33,66,1,2.17,US,1632285816
Narsaq,60.9167,-46.05,35.82,62,100,7.74,GL,1632286040
Valparaíso,-33.0393,-71.6273,53.24,87,90,3.44,CL,1632285749
Barrow,71.2906,-156.7887,32.02,64,75,16.11,US,1632286041
Singarāyakonda,15.25,80.0333,92.14,49,100,12.57,IN,1632286042
Rikitea,-23.1203,-134.9692,73.85,72,0,15.32,PF,1632286042
Gazli,40.1333,63.45,72.28,12,0,12.03,UZ,1632286043
Hay River,60.8156,-115.7999,46.36,93,20,2.3,CA,1632285951
São Raimundo das Mangabeiras,-7.0219,-45.4811,77.58,47,78,1.12,BR,1632286043
Hermanus,-34.4187,19.2345,52.9,84,2,13.65,ZA,1632286044
Umluj,25.0213,37.2685,86.63,62,63,2.89,SA,1632286044
Puerto Ayora,-0.7393,-90.3518,68.27,88,35,7.94,EC,1632286036
Zavitinsk,50.1167,129.45,63.82,53,100,7.43,RU,1632286045
Jamestown,42.097,-79.2353,67.32,98,90,5.01,US,1632285920
Belomorsk,64.5232,34.7668,35.13,86,5,3.91,RU,1632286045
Cherskiy,68.75,161.3,36.03,44,100,8.08,RU,1632286046
Nanortalik,60.1432,-45.2371,36.93,73,100,9.89,GL,1632286046
Cape Town,-33.9258,18.4232,53.11,87,0,2.3,ZA,1632285832
Tiksi,71.6872,128.8694,36.25,74,100,5.97,RU,1632286047
Torbay,47.6666,-52.7314,58.26,87,20,17.27,CA,1632286047
Būgai,55.4167,22.6167,39.96,96,69,6.29,LT,1632286047
Mount Gambier,-37.8333,140.7667,57.11,82,90,12.66,AU,1632286046
Vaini,-21.2,-175.2,75.36,83,20,10.36,TO,1632286048
Port Alfred,-33.5906,26.891,57.69,70,1,9.22,ZA,1632286048
Galesong,-5.3166,119.3661,87.82,62,87,5.32,ID,1632286049
Denpasar,-8.65,115.2167,85.66,74,20,16.11,ID,1632286035
Albany,42.6001,-73.9662,64.31,90,100,1.01,US,1632285986
Nemuro,43.3236,145.575,72.03,97,96,18.48,JP,1632285981
Tiznit Province,29.5833,-9.5,61.3,87,98,2.08,MA,1632286050
Hilo,19.7297,-155.09,74.8,88,90,4.61,US,1632286050
Aleksandrov Gay,50.147,48.5704,58.39,70,100,12.73,RU,1632286051
Sørland,67.667,12.6934,50.07,90,100,51.34,NO,1632286051
Shimoda,34.6667,138.95,80.96,74,65,10.76,JP,1632286051
